date_time,day,home_team,away_team,stadium
16/04/2005 19:10,Saturday,Geelong,Essendon,Docklands
16/04/2005 19:40,Saturday,Port Adelaide,Carlton,Footy Park
17/04/2005 13:10,Sunday,Sydney,Adelaide,SCG
17/04/2005 14:10,Sunday,Richmond,Fremantle,MCG
17/04/2005 16:40,Sunday,St Kilda,Melbourne,Docklands
22/04/2005 19:40,Friday,Port Adelaide,Geelong,Footy Park
23/04/2005 14:10,Saturday,Fremantle,Carlton,Subiaco
23/04/2005 14:10,Saturday,North Melbourne,Hawthorn,MCG
23/04/2005 19:10,Saturday,Sydney,Melbourne,SCG
23/04/2005 19:10,Saturday,Western Bulldogs,Adelaide,Docklands
24/04/2005 13:10,Sunday,Brisbane Lions,West Coast,Gabba
24/04/2005 17:10,Sunday,St Kilda,Richmond,Docklands
25/04/2005 14:10,Monday,Essendon,Collingwood,MCG
29/04/2005 19:40,Friday,Carlton,Hawthorn,Docklands
30/04/2005 14:10,Saturday,Adelaide,North Melbourne,Footy Park
30/04/2005 14:10,Saturday,Melbourne,Fremantle,MCG
30/04/2005 19:10,Saturday,West Coast,Sydney,Subiaco
30/04/2005 19:10,Saturday,Essendon,Brisbane Lions,Docklands
1/05/2005 13:10,Sunday,Geelong,Western Bulldogs,Kardinia
1/05/2005 14:10,Sunday,Collingwood,St Kilda,MCG
1/05/2005 16:40,Sunday,Richmond,Port Adelaide,Docklands
6/05/2005 19:40,Friday,Melbourne,Adelaide,MCG
7/05/2005 14:10,Saturday,Geelong,St Kilda,Docklands
7/05/2005 14:10,Saturday,Richmond,Carlton,MCG
7/05/2005 19:10,Saturday,Brisbane Lions,Western Bulldogs,Gabba
7/05/2005 19:10,Saturday,Sydney,Essendon,Homebush
8/05/2005 13:10,Sunday,Hawthorn,West Coast,Launceston
8/05/2005 16:40,Sunday,Port Adelaide,North Melbourne,Footy Park
8/05/2005 16:40,Sunday,Fremantle,Collingwood,Subiaco
13/05/2005 19:40,Friday,Carlton,Geelong,Docklands
14/05/2005 14:10,Saturday,Hawthorn,Melbourne,MCG
14/05/2005 14:10,Saturday,West Coast,St Kilda,Subiaco
14/05/2005 19:10,Saturday,Adelaide,Brisbane Lions,Footy Park
14/05/2005 19:10,Saturday,North Melbourne,Western Bulldogs,Docklands
15/05/2005 13:10,Sunday,Sydney,Port Adelaide,SCG
15/05/2005 14:10,Sunday,Collingwood,Richmond,MCG
15/05/2005 16:40,Sunday,Essendon,Fremantle,Docklands
20/05/2005 19:40,Friday,St Kilda,Adelaide,Docklands
21/05/2005 14:10,Saturday,Carlton,Melbourne,Princes Park
21/05/2005 14:10,Saturday,Collingwood,West Coast,MCG
21/05/2005 19:10,Saturday,Brisbane Lions,Richmond,Gabba
21/05/2005 19:10,Saturday,Port Adelaide,Essendon,Footy Park
22/05/2005 13:10,Sunday,Western Bulldogs,Sydney,SCG
22/05/2005 14:10,Sunday,Geelong,North Melbourne,Kardinia
22/05/2005 16:40,Sunday,Fremantle,Hawthorn,Subiaco
27/05/2005 19:40,Friday,Melbourne,Richmond,Docklands
28/05/2005 14:10,Saturday,Geelong,Fremantle,Kardinia
28/05/2005 14:10,Saturday,Hawthorn,Collingwood,MCG
28/05/2005 19:10,Saturday,Brisbane Lions,North Melbourne,Gabba
28/05/2005 19:10,Saturday,St Kilda,Sydney,Docklands
29/05/2005 13:10,Sunday,Adelaide,Carlton,Footy Park
29/05/2005 14:10,Sunday,Essendon,Western Bulldogs,Docklands
29/05/2005 16:40,Sunday,West Coast,Port Adelaide,Subiaco
3/06/2005 19:40,Friday,Collingwood,Geelong,Docklands
4/06/2005 14:10,Saturday,Carlton,Sydney,Docklands
4/06/2005 14:10,Saturday,Richmond,West Coast,MCG
4/06/2005 19:40,Saturday,Fremantle,Brisbane Lions,Subiaco
4/06/2005 19:40,Saturday,Adelaide,Essendon,Footy Park
5/06/2005 13:10,Sunday,North Melbourne,Melbourne,Manuka
5/06/2005 13:10,Sunday,St Kilda,Port Adelaide,Launceston
5/06/2005 14:10,Sunday,Western Bulldogs,Hawthorn,Docklands
10/06/2005 19:40,Friday,West Coast,Essendon,Subiaco
11/06/2005 14:10,Saturday,Hawthorn,St Kilda,MCG
11/06/2005 19:10,Saturday,Carlton,Brisbane Lions,Docklands
11/06/2005 19:40,Saturday,Port Adelaide,Western Bulldogs,Footy Park
12/06/2005 13:10,Sunday,Sydney,Fremantle,SCG
12/06/2005 14:10,Sunday,Geelong,Adelaide,Kardinia
12/06/2005 14:10,Sunday,North Melbourne,Richmond,Docklands
13/06/2005 14:10,Monday,Melbourne,Collingwood,MCG
17/06/2005 20:40,Friday,Port Adelaide,Hawthorn,Footy Park
18/06/2005 14:10,Saturday,Melbourne,West Coast,MCG
18/06/2005 19:10,Saturday,Richmond,Adelaide,Docklands
18/06/2005 19:40,Saturday,Western Bulldogs,Carlton,Marrara
19/06/2005 13:10,Sunday,Brisbane Lions,Geelong,Gabba
19/06/2005 16:40,Sunday,Fremantle,North Melbourne,Subiaco
24/06/2005 19:40,Friday,Essendon,St Kilda,Docklands
25/06/2005 19:10,Saturday,Sydney,Collingwood,Homebush
1/07/2005 19:40,Friday,Collingwood,Port Adelaide,Docklands
2/07/2005 14:10,Saturday,Richmond,Sydney,MCG
2/07/2005 14:10,Saturday,West Coast,Carlton,Subiaco
2/07/2005 19:10,Saturday,Essendon,North Melbourne,Docklands
2/07/2005 19:10,Saturday,Melbourne,Brisbane Lions,Gabba
3/07/2005 13:10,Sunday,Adelaide,Fremantle,Footy Park
3/07/2005 14:10,Sunday,Western Bulldogs,St Kilda,MCG
3/07/2005 16:40,Sunday,Geelong,Hawthorn,Docklands
8/07/2005 19:40,Friday,North Melbourne,West Coast,Docklands
9/07/2005 14:10,Saturday,Richmond,Essendon,MCG
9/07/2005 14:40,Saturday,Port Adelaide,Melbourne,Footy Park
9/07/2005 19:10,Saturday,Brisbane Lions,Collingwood,Gabba
9/07/2005 19:10,Saturday,Sydney,Geelong,SCG
10/07/2005 13:10,Sunday,Hawthorn,Adelaide,Launceston
10/07/2005 14:10,Sunday,St Kilda,Carlton,Docklands
10/07/2005 16:40,Sunday,Fremantle,Western Bulldogs,Subiaco
15/07/2005 19:40,Friday,Collingwood,Essendon,MCG
16/07/2005 14:10,Saturday,Geelong,Port Adelaide,Kardinia
16/07/2005 14:10,Saturday,Richmond,St Kilda,MCG
16/07/2005 19:10,Saturday,Melbourne,Sydney,Docklands
