Stadium,BOM_station_number,Year,Month,Day,Rainfall_amount
Adelaide Oval,23011,2005,1,29,1.2
Adelaide Oval,23011,2005,1,30,0
Adelaide Oval,23011,2005,1,31,0
Adelaide Oval,23011,2005,2,1,0
Adelaide Oval,23011,2005,2,2,3
Adelaide Oval,23011,2005,2,3,1.2
Adelaide Oval,23011,2005,2,4,0
Adelaide Oval,23011,2005,2,5,0
Adelaide Oval,23011,2005,2,6,0
Adelaide Oval,23011,2005,2,7,0
Adelaide Oval,23011,2005,2,8,0.4
Adelaide Oval,23011,2005,2,9,3
Adelaide Oval,23011,2005,2,10,2
Adelaide Oval,23011,2005,2,11,0
Adelaide Oval,23011,2005,2,12,0
Adelaide Oval,23011,2005,2,13,0
Adelaide Oval,23011,2005,2,14,0
Adelaide Oval,23011,2005,2,15,0
Adelaide Oval,23011,2005,2,16,0
Adelaide Oval,23011,2005,2,17,0
Adelaide Oval,23011,2005,2,18,0
Adelaide Oval,23011,2005,2,19,1.6
Adelaide Oval,23011,2005,2,20,0
Adelaide Oval,23011,2005,2,21,0
Adelaide Oval,23011,2005,2,22,0
Adelaide Oval,23011,2005,2,23,0
Adelaide Oval,23011,2005,2,24,0
Adelaide Oval,23011,2005,2,25,0
Adelaide Oval,23011,2005,2,26,0
Adelaide Oval,23011,2005,2,27,0
Adelaide Oval,23011,2005,2,28,0
Adelaide Oval,23011,2005,3,1,0
Adelaide Oval,23011,2005,3,2,0
Adelaide Oval,23011,2005,3,3,0
Adelaide Oval,23011,2005,3,4,0
Adelaide Oval,23011,2005,3,5,10.4
Adelaide Oval,23011,2005,3,6,0
Adelaide Oval,23011,2005,3,7,0
Adelaide Oval,23011,2005,3,8,0
Adelaide Oval,23011,2005,3,9,0
Adelaide Oval,23011,2005,3,10,0
Adelaide Oval,23011,2005,3,11,0
Adelaide Oval,23011,2005,3,12,0
Adelaide Oval,23011,2005,3,13,0
Adelaide Oval,23011,2005,3,14,0
Adelaide Oval,23011,2005,3,15,0
Adelaide Oval,23011,2005,3,16,1.2
Adelaide Oval,23011,2005,3,17,0
Adelaide Oval,23011,2005,3,18,0
Adelaide Oval,23011,2005,3,19,0
Adelaide Oval,23011,2005,3,20,0
Adelaide Oval,23011,2005,3,21,0
Adelaide Oval,23011,2005,3,22,0
Adelaide Oval,23011,2005,3,23,0
Adelaide Oval,23011,2005,3,24,0
Adelaide Oval,23011,2005,3,25,0
Adelaide Oval,23011,2005,3,26,0
Adelaide Oval,23011,2005,3,27,0
Adelaide Oval,23011,2005,3,28,0
Adelaide Oval,23011,2005,3,29,0
Adelaide Oval,23011,2005,3,30,0
Adelaide Oval,23011,2005,3,31,0
Adelaide Oval,23011,2005,4,1,0
Adelaide Oval,23011,2005,4,2,0
Adelaide Oval,23011,2005,4,3,0
Adelaide Oval,23011,2005,4,4,0.8
Adelaide Oval,23011,2005,4,5,0
Adelaide Oval,23011,2005,4,6,0
Adelaide Oval,23011,2005,4,7,0
Adelaide Oval,23011,2005,4,8,0
Adelaide Oval,23011,2005,4,9,0
Adelaide Oval,23011,2005,4,10,0
Adelaide Oval,23011,2005,4,11,0.4
Adelaide Oval,23011,2005,4,12,0
Adelaide Oval,23011,2005,4,13,0
Adelaide Oval,23011,2005,4,14,2.2
Adelaide Oval,23011,2005,4,15,0
Adelaide Oval,23011,2005,4,16,0
Adelaide Oval,23011,2005,4,17,0
Adelaide Oval,23011,2005,4,18,0
Adelaide Oval,23011,2005,4,19,0
Adelaide Oval,23011,2005,4,20,0
Adelaide Oval,23011,2005,4,21,0
Adelaide Oval,23011,2005,4,22,0
Adelaide Oval,23011,2005,4,23,0
Adelaide Oval,23011,2005,4,24,0
Adelaide Oval,23011,2005,4,25,0
Adelaide Oval,23011,2005,4,26,0
Adelaide Oval,23011,2005,4,27,0
Adelaide Oval,23011,2005,4,28,0
Adelaide Oval,23011,2005,4,29,0
Adelaide Oval,23011,2005,4,30,0
Adelaide Oval,23011,2005,5,1,2.4
Adelaide Oval,23011,2005,5,2,0
Adelaide Oval,23011,2005,5,3,0
Adelaide Oval,23011,2005,5,4,0
